Position,Frame,mean_curved,volume_curved,mean_background,mask_mean,mask_area,mask_eccentricity,mask_centroid_x,mask_centroid_y,mask_total
16,18,152.72546863045142,20912.0,124.89316025961058,228.28013392857142,3584.0,0.8041181509106708,590.73046875,522.0030691964286,23356.0
17,18,143.8385560146924,17424.0,120.45868263473054,189.65608770917484,3466.0,0.7678515881761437,641.1823427582227,350.71436814772073,3801.0
18,18,144.33476769203932,17197.0,115.43007690116775,236.97672462142455,3566.0,0.8749170786161221,506.0431856421761,377.18031407739767,8853.0
19,18,139.63192929462437,17877.0,113.25079832964873,249.62100161550887,3095.0,0.8624385978559925,697.2959612277867,424.76801292407106,14000.0
1,18,143.32033018867924,21200.0,115.32279171210469,248.50526080143274,4467.0,0.7831782214013753,635.0599955227221,452.4260129841057,22164.0
20,18,133.54225352112675,1136.0,126.0384193194292,210.27430555555554,288.0,0.9063730395393992,373.62847222222223,515.2048611111111,288.0
21,18,149.93183802663174,18324.0,123.96389700026546,267.0015923566879,3140.0,0.8216397388500339,333.6707006369427,669.9684713375797,3208.0
22,18,129.584375,320.0,125.69274809160305,195.55,80.0,0.8914769563150522,542.15,239.4875,116.0
23,18,133.37486981104,13442.0,128.4283900994288,182.8521266073195,2022.0,0.8579448383521509,568.9134520276954,549.6404549950544,4057.0
24,18,150.91823836775316,20095.0,131.19168652369606,187.3632968791678,3749.0,0.7883054267667579,541.7602027207255,684.0834889303815,8019.0
25,18,,,,,,,,,
26,18,,,,,,,,,
27,18,133.4056074766355,1605.0,121.63431542461005,200.12126537785588,569.0,0.8887428361746292,439.90158172231986,729.0720562390159,1240.0
28,18,115.64948453608247,97.0,113.95564516129032,301.1515151515151,33.0,0.7398539074547796,576.2727272727273,983.7272727272727,33.0
29,18,130.2379036121491,10437.0,126.33347892552959,207.4806157354618,1754.0,0.8438733407442881,181.27366020524516,638.2736602052452,1978.0
2,18,140.71601810930258,18554.0,112.45020149683361,244.81276483050848,3776.0,0.8074535687293541,719.2002118644068,716.5365466101695,7707.0
30,18,125.78498912255257,2758.0,117.60893854748603,218.22702702702702,925.0,0.91898613290885,638.0854054054054,18.754594594594593,4640.0
31,18,150.3380301300437,107733.0,124.55100310822266,268.6589266155531,18260.0,0.8598474155024727,477.613143483023,614.7667579408543,135385.0
32,18,144.66084873374402,14610.0,132.4619962131458,197.99903691813805,3115.0,0.8220369382056881,571.7935794542536,293.38105939004816,3115.0
33,18,130.49619813165327,18412.0,118.5380683346785,240.89630029705643,3703.0,0.865936911169803,519.6211180124224,457.87631650013503,3703.0
34,18,,,,,,,,,
35,18,142.30256545887332,3781.0,130.35013321492008,183.22874493927125,988.0,0.6753709413888049,113.97672064777328,628.7823886639676,5892.0
36,18,127.16352378271883,3553.0,124.56172140430351,172.55555555555554,594.0,0.7309065773619323,296.4276094276094,283.55723905723903,594.0
37,18,151.29817303115732,54626.0,127.56443220079584,246.4292872481849,9779.0,0.9752359600472198,291.4233561713877,770.5740873299928,10286.0
38,18,132.63316972358564,46452.0,124.98333824830434,193.07664816363774,13151.0,0.9047121794335945,924.8349174967683,196.9628925556992,82161.0
39,18,174.49,400.0,123.15242494226328,412.0816326530612,147.0,0.688809347951351,569.9863945578231,224.45578231292518,332.0
3,18,141.75486849064768,20797.0,116.38474658869396,238.6663867898125,3573.0,0.8312292427440181,702.4855863420095,599.7041701651274,19218.0
40,18,172.6434306569343,8220.0,155.27723378212974,183.7076612903226,1488.0,0.6646480630330267,502.95900537634407,582.2909946236559,1488.0
41,18,132.17047051228496,26333.0,122.87697828487302,189.80924234282645,5583.0,0.9921912867787246,528.6797420741536,235.97546122156547,12975.0
42,18,144.10197297101973,27674.0,129.6430785123967,230.04192270927214,7323.0,0.8614983164696909,181.26041239928992,624.1640038235696,7947.0
43,18,107.9792537625418,19136.0,107.99502262443438,664.6947427925381,3538.0,0.8016950044563035,602.9595816845675,262.3304126625212,7768.0
44,18,110.72458871915394,6808.0,110.85663422739141,185.62752646775746,1039.0,0.5433487388790229,734.8854667949952,342.34359961501445,4400.0
45,18,112.16023201015044,22068.0,114.7470802461384,353.12542871141596,6123.0,0.9801860715046232,712.693124285481,75.9145843540748,12481.0
